"","X.","Resistant","Sensitive","Total"
"101","  No change","6 (50.0%)","21 (80.8%)","27 (71.1%)"
"102","  One copy gain","3 (25.0%)","2 (7.7%)","5 (13.2%)"
"103","  Two copy gain","0 (0%)","1 (3.8%)","1 (2.6%)"
"104","RAD51D","","",""
"105","  Two copy loss","0 (0%)","0 (0%)","0 (0%)"
"106","  One copy loss","1 (8.3%)","3 (11.5%)","4 (10.5%)"
"107","  No change","9 (75.0%)","22 (84.6%)","31 (81.6%)"
"108","  One copy gain","2 (16.7%)","0 (0%)","2 (5.3%)"
"109","  Two copy gain","0 (0%)","1 (3.8%)","1 (2.6%)"
"110","BRCA1","","",""
"111","  Two copy loss","0 (0%)","0 (0%)","0 (0%)"
"112","  One copy loss","2 (16.7%)","3 (11.5%)","5 (13.2%)"
"113","  No change","8 (66.7%)","22 (84.6%)","30 (78.9%)"
"114","  One copy gain","2 (16.7%)","0 (0%)","2 (5.3%)"
"115","  Two copy gain","0 (0%)","1 (3.8%)","1 (2.6%)"
"116","RAD51C","","",""
"117","  Two copy loss","0 (0%)","0 (0%)","0 (0%)"
"118","  One copy loss","1 (8.3%)","1 (3.8%)","2 (5.3%)"
"119","  No change","9 (75.0%)","22 (84.6%)","31 (81.6%)"
"120","  One copy gain","2 (16.7%)","1 (3.8%)","3 (7.9%)"
"121","  Two copy gain","0 (0%)","2 (7.7%)","2 (5.3%)"
"122","BRIP1","","",""
"123","  Two copy loss","0 (0%)","0 (0%)","0 (0%)"
"124","  One copy loss","1 (8.3%)","1 (3.8%)","2 (5.3%)"
"125","  No change","8 (66.7%)","22 (84.6%)","30 (78.9%)"
"126","  One copy gain","2 (16.7%)","1 (3.8%)","3 (7.9%)"
"127","  Two copy gain","1 (8.3%)","2 (7.7%)","3 (7.9%)"
"128","CHEK2","","",""
"129","  Two copy loss","0 (0%)","0 (0%)","0 (0%)"
"130","  One copy loss","1 (8.3%)","9 (34.6%)","10 (26.3%)"
"131","  No change","7 (58.3%)","14 (53.8%)","21 (55.3%)"
"132","  One copy gain","3 (25.0%)","3 (11.5%)","6 (15.8%)"
"133","  Two copy gain","1 (8.3%)","0 (0%)","1 (2.6%)"
"134","WGD","","",""
"135","  Yes","9 (75.0%)","12 (46.2%)","21 (55.3%)"
"136","  No","3 (25.0%)","14 (53.8%)","17 (44.7%)"
"137","mhBRCA1","","",""
"138","  Mutation not present","12 (100%)","24 (92.3%)","36 (94.7%)"
"139","  Mutation present","0 (0%)","2 (7.7%)","2 (5.3%)"
"140","mhBRCA2","","",""
"141","  Mutation not present","12 (100%)","22 (84.6%)","34 (89.5%)"
"142","  Mutation present","0 (0%)","4 (15.4%)","4 (10.5%)"
"143","mhCHEK2","","",""
"144","  Mutation not present","11 (91.7%)","26 (100%)","37 (97.4%)"
"145","  Mutation present","1 (8.3%)","0 (0%)","1 (2.6%)"
"146","mhPALB2","","",""
"147","  Mutation not present","12 (100%)","25 (96.2%)","37 (97.4%)"
"148","  Mutation present","0 (0%)","1 (3.8%)","1 (2.6%)"
